name,important_feature,interval_start,interval_end,gap,count
Chopin_Etude_Op.10_No.1_score,1,39,42,0.010625302791595459,1
Chopin_Etude_Op.10_No.1_score,1,40,42,0.010764122009277344,1
Chopin_Etude_Op.10_No.1_score,1,40,43,0.012033820152282715,1
Chopin_Etude_Op.10_No.1_score,1,41,43,0.010303109884262085,1
Chopin_Etude_Op.10_No.1_score,1,41,44,0.010798394680023192,1
Chopin_Etude_Op.10_No.1_score,1,53,55,0.014993935823440553,1
Chopin_Etude_Op.10_No.1_score,1,53,56,0.013646036386489868,1
Chopin_Etude_Op.10_No.1_score,1,54,55,0.016153216361999508,1
Chopin_Etude_Op.10_No.1_score,1,54,56,0.014602303504943848,1
Chopin_Etude_Op.10_No.1_score,1,54,57,0.014080584049224854,1
Chopin_Etude_Op.10_No.1_score,2,39,42,0.011816352605819702,1
Chopin_Etude_Op.10_No.1_score,2,40,42,0.011389732360839844,1
Chopin_Etude_Op.10_No.1_score,2,40,43,0.013039648532867432,1
Chopin_Etude_Op.10_No.1_score,2,41,43,0.010686427354812622,1
Chopin_Etude_Op.10_No.1_score,2,41,44,0.010789275169372559,1
Chopin_Etude_Op.10_No.1_score,2,45,48,0.010210007429122923,1
Chopin_Etude_Op.10_No.1_score,3,75,78,0.010489702224731444,1
Chopin_Etude_Op.10_No.1_score,3,77,78,0.012069344520568848,1
Chopin_Etude_Op.10_No.1_score,3,77,79,0.014816582202911375,1
Chopin_Etude_Op.10_No.1_score,3,77,80,0.017599552869796753,2
Chopin_Etude_Op.10_No.1_score,3,78,80,0.012645959854125977,1
Chopin_Etude_Op.10_No.1_score,3,78,81,0.012645959854125977,1
Chopin_Etude_Op.10_No.1_score,3,79,80,0.010585427284240723,1
Chopin_Etude_Op.10_No.1_score,3,79,81,0.010585427284240723,1
Chopin_Etude_Op.10_No.1_score,3,79,82,0.010585427284240723,1
Chopin_Etude_Op.10_No.1_score,4,7,10,0.010436803102493286,1
Chopin_Etude_Op.10_No.1_score,4,8,10,0.010785579681396484,1
Chopin_Etude_Op.10_No.1_score,4,8,11,0.010882079601287842,1
Chopin_Etude_Op.10_No.1_score,4,39,42,0.016141057014465332,1
Chopin_Etude_Op.10_No.1_score,4,40,42,0.01546311378479004,1
Chopin_Etude_Op.10_No.1_score,4,40,43,0.015483289957046509,1
Chopin_Etude_Op.10_No.1_score,4,41,42,0.016496539115905758,1
Chopin_Etude_Op.10_No.1_score,4,41,43,0.016206026077270508,1
Chopin_Etude_Op.10_No.1_score,4,41,44,0.0181821882724762,1
Chopin_Etude_Op.10_No.1_score,4,45,46,0.014632165431976318,1
Chopin_Etude_Op.10_No.1_score,4,45,47,0.014981329441070557,1
Chopin_Etude_Op.10_No.1_score,4,45,48,0.012818649411201477,2
Chopin_Etude_Op.10_No.1_score,4,53,55,0.01278214156627655,2
Chopin_Etude_Op.10_No.1_score,4,53,56,0.013257130980491638,2
Chopin_Etude_Op.10_No.1_score,4,54,55,0.011370107531547545,2
Chopin_Etude_Op.10_No.1_score,4,54,56,0.011765480041503906,2
Chopin_Etude_Op.10_No.1_score,4,54,57,0.014942511916160585,2
Chopin_Etude_Op.10_No.1_score,4,55,58,0.01180434226989746,1
Chopin_Etude_Op.10_No.1_score,4,56,58,0.012914448976516724,1
Chopin_Etude_Op.10_No.1_score,4,56,59,0.012607097625732422,1
Chopin_Etude_Op.10_No.1_score,4,69,71,0.010272681713104248,1
Chopin_Etude_Op.10_No.1_score,4,69,72,0.010163366794586182,1
Chopin_Etude_Op.10_No.1_score,4,77,80,0.014059454202651978,1
Chopin_Etude_Op.10_No.1_score,4,78,80,0.011743813753128052,1
Chopin_Etude_Op.10_No.1_score,4,78,81,0.011743813753128052,1
Chopin_Etude_Op.10_No.1_score,4,79,80,0.010090023279190063,1
Chopin_Etude_Op.10_No.1_score,4,79,81,0.010090023279190063,1
Chopin_Etude_Op.10_No.1_score,4,79,82,0.010090023279190063,1
Chopin_Etude_Op.10_No.1_score,5,8,11,0.011586308479309082,1
Chopin_Etude_Op.10_No.1_score,5,53,55,0.015002280473709106,1
Chopin_Etude_Op.10_No.1_score,5,53,56,0.01889362931251526,1
Chopin_Etude_Op.10_No.1_score,5,54,55,0.01143154501914978,1
Chopin_Etude_Op.10_No.1_score,5,54,56,0.01589483022689819,1
Chopin_Etude_Op.10_No.1_score,5,54,57,0.01523531973361969,2
Chopin_Etude_Op.10_No.1_score,5,55,58,0.012917473912239076,2
Chopin_Etude_Op.10_No.1_score,5,56,58,0.011454299092292786,2
Chopin_Etude_Op.10_No.1_score,5,56,59,0.011470228433609007,2
Chopin_Etude_Op.10_No.1_score,5,65,68,0.010978996753692629,1
Chopin_Etude_Op.10_No.1_score,5,77,80,0.011063367128372192,1
Chopin_Etude_Op.10_No.1_score,6,39,42,0.011984402934710184,6
Chopin_Etude_Op.10_No.1_score,6,40,42,0.011944416165351869,5
Chopin_Etude_Op.10_No.1_score,6,40,43,0.01188308298587799,5
Chopin_Etude_Op.10_No.1_score,6,41,42,0.013007074594497679,3
Chopin_Etude_Op.10_No.1_score,6,41,43,0.012070704251527786,4
Chopin_Etude_Op.10_No.1_score,6,41,44,0.012793521086374918,3
Chopin_Etude_Op.10_No.1_score,6,53,56,0.01041877269744873,1
Chopin_Etude_Op.10_No.1_score,6,54,57,0.012893423438072205,2
Chopin_Etude_Op.10_No.1_score,7,39,42,0.012034028768539429,3
Chopin_Etude_Op.10_No.1_score,7,40,42,0.012873649597167969,2
Chopin_Etude_Op.10_No.1_score,7,40,43,0.011418829361597695,3
Chopin_Etude_Op.10_No.1_score,7,41,42,0.010286957025527954,1
Chopin_Etude_Op.10_No.1_score,7,41,44,0.010613948106765749,1
Chopin_Etude_Op.10_No.1_score,7,45,46,0.010284841060638428,1
Chopin_Etude_Op.10_No.1_score,7,45,47,0.010624229907989502,1
Chopin_Etude_Op.10_No.1_score,7,45,48,0.010463118553161621,1
Chopin_Etude_Op.10_No.1_score,7,53,56,0.010322988033294678,1
Chopin_Etude_Op.10_No.1_score,7,54,56,0.010671436786651613,1
Chopin_Etude_Op.10_No.1_score,7,69,71,0.011173039674758913,1
Chopin_Etude_Op.10_No.1_score,7,69,72,0.010362565517425535,1
Chopin_Etude_Op.10_No.1_score,7,70,71,0.011093825101852415,1
Chopin_Etude_Op.10_No.1_score,7,70,72,0.010444611310958862,1
Chopin_Etude_Op.10_No.1_score,8,16,19,0.01008307933807373,1
Chopin_Etude_Op.10_No.1_score,8,29,32,0.010089635848999023,1
Chopin_Etude_Op.10_No.1_score,8,39,42,0.01607435941696167,1
Chopin_Etude_Op.10_No.1_score,8,40,42,0.01482480764389038,1
Chopin_Etude_Op.10_No.1_score,8,40,43,0.013359636068344116,2
Chopin_Etude_Op.10_No.1_score,8,41,42,0.016700387001037598,1
Chopin_Etude_Op.10_No.1_score,8,41,43,0.013174921274185179,3
Chopin_Etude_Op.10_No.1_score,8,41,44,0.01351359486579895,4
Chopin_Etude_Op.10_No.1_score,8,45,46,0.010012269020080566,1
Chopin_Etude_Op.10_No.1_score,8,45,48,0.01133449375629425,2
Chopin_Etude_Op.10_No.1_score,8,49,52,0.0101049542427063,1
Chopin_Etude_Op.10_No.1_score,8,54,55,0.011252760887145996,1
Chopin_Etude_Op.10_No.1_score,8,54,57,0.01078641414642334,1
Chopin_Etude_Op.10_No.1_score,8,56,59,0.011203289031982422,1
Chopin_Etude_Op.10_No.1_score,8,65,68,0.010535478591918944,1
Chopin_Etude_Op.10_No.1_score,8,66,69,0.011165738105773926,1
Chopin_Etude_Op.10_No.1_score,8,69,71,0.011234641075134277,1
Chopin_Etude_Op.10_No.1_score,8,69,72,0.011275649070739746,1
Chopin_Etude_Op.10_No.1_score,8,70,71,0.012223124504089355,1
Chopin_Etude_Op.10_No.1_score,8,70,72,0.012203872203826904,1
Chopin_Etude_Op.10_No.1_score,8,70,73,0.011176645755767822,1
Chopin_Etude_Op.10_No.1_score,8,77,79,0.012673318386077879,1
